"time","timeDate","close","high","low","open","volumefrom","volumeto"
1391817600000,"2014-02-08",0.07,0.07,0.05,0.05,427.45,29.37
1391904000000,"2014-02-09",0.1,0.1,0.07,0.07,9.1,0.9101
1391990400000,"2014-02-10",0.1,0.1,0.1,0.1,0,0
1392076800000,"2014-02-11",0.1,0.1,0.1,0.1,0,0
1392163200000,"2014-02-12",0.1,0.1,0.1,0.1,0,0
1392249600000,"2014-02-13",0.25,0.25,0.1,0.1,200,50
1392336000000,"2014-02-14",0.25,0.25,0.25,0.25,0,0
1392422400000,"2014-02-15",0.25,0.25,0.25,0.25,0,0
1392508800000,"2014-02-16",0.32,0.33,0.25,0.25,7.1,2.3
1392595200000,"2014-02-17",100,100,0.099,0.32,5.14,1.02
1392681600000,"2014-02-18",100,100,100,100,0,0
1392768000000,"2014-02-19",0.9,100,0.9,100,0.76,0.69
1392854400000,"2014-02-20",1.2,2,0.9,0.9,23.25,33.76
1392940800000,"2014-02-21",1.25,1.3,1.08,1.2,12.45,14.16
1393027200000,"2014-02-22",0.103,1.25,0.103,1.25,43.45,7.73
1393113600000,"2014-02-23",1,1.26,0.103,0.103,32.21,37.9
1393200000000,"2014-02-24",1.3,1.3,1,1,2.34,3.05
1393286400000,"2014-02-25",0.8,1.3,0.8,1.3,63.21,50.57
1393372800000,"2014-02-26",1.5,1.5,0.03,0.8,1.4,1.95
1393459200000,"2014-02-27",1.5,1.5,1.5,1.5,0,0
1393545600000,"2014-02-28",1.5,1.5,1.5,1.5,0,0
1393632000000,"2014-03-01",1.5,1.5,1.5,1.5,0,0
1393718400000,"2014-03-02",0.9,1.5,0.8,1.5,21.49,18.87
1393804800000,"2014-03-03",0.9,1,0.89,0.9,8.93,8.19
1393891200000,"2014-03-04",0.8,0.9,0.8,0.9,6.2,5.29
1393977600000,"2014-03-05",0.8,0.8,0.8,0.8,0,0
1394064000000,"2014-03-06",0.8,0.8,0.8,0.8,0,0
1394150400000,"2014-03-07",0.8,0.8,0.8,0.8,0,0
1394236800000,"2014-03-08",0.8,0.8,0.8,0.8,0,0
1394323200000,"2014-03-09",0.8,0.8,0.8,0.8,0,0
1394409600000,"2014-03-10",0.8,0.8,0.8,0.8,0,0
1394496000000,"2014-03-11",0.8,0.8,0.8,0.8,0,0
1394582400000,"2014-03-12",0.8,0.8,0.8,0.8,0,0
1394668800000,"2014-03-13",0.79,1,0.79,0.8,10.59,8.58
1394755200000,"2014-03-14",0.79,0.79,0.79,0.79,0,0
1394841600000,"2014-03-15",0.79,0.79,0.79,0.79,0,0
1394928000000,"2014-03-16",0.79,0.79,0.79,0.79,0.5053,0.3992
1395014400000,"2014-03-17",0.79,0.79,0.79,0.79,0.001,0.00079
1395100800000,"2014-03-18",0.79,0.79,0.79,0.79,0,0
1395187200000,"2014-03-19",0.79,0.79,0.79,0.79,0,0
1395273600000,"2014-03-20",0.79,0.79,0.79,0.79,0,0
1395360000000,"2014-03-21",0.79,0.79,0.79,0.79,0,0
1395446400000,"2014-03-22",0.79,0.79,0.79,0.79,0,0
1395532800000,"2014-03-23",0.7,0.79,0.7,0.79,1.91,1.34
1395619200000,"2014-03-24",0.78,0.78,0.7,0.7,5.78,4.43
1395705600000,"2014-03-25",0.78,0.78,0.78,0.78,2.22,1.73
1395792000000,"2014-03-26",0.78,0.78,0.78,0.78,0,0
1395878400000,"2014-03-27",0.78,0.78,0.78,0.78,0,0
1395964800000,"2014-03-28",0.78,0.78,0.78,0.78,0,0
1396051200000,"2014-03-29",0.7,0.78,0.7,0.78,0.0114,0.007977
1396137600000,"2014-03-30",0.7,0.7,0.7,0.7,0,0
1396224000000,"2014-03-31",0.7,0.7,0.7,0.7,0,0
1396310400000,"2014-04-01",0.7,0.7,0.7,0.7,0,0
1396396800000,"2014-04-02",0.7,0.7,0.7,0.7,0,0
1396483200000,"2014-04-03",0.7,0.7,0.7,0.7,0,0
1396569600000,"2014-04-04",0.7,0.7,0.7,0.7,0,0
1396656000000,"2014-04-05",0.7,0.7,0.7,0.7,0,0
1396742400000,"2014-04-06",0.7,0.7,0.7,0.7,0,0
1396828800000,"2014-04-07",0.7,0.7,0.7,0.7,0,0
1396915200000,"2014-04-08",0.7,0.7,0.7,0.7,0,0
1397001600000,"2014-04-09",0.7,0.7,0.7,0.7,0,0
1397088000000,"2014-04-10",0.7,0.7,0.7,0.7,0,0
1397174400000,"2014-04-11",0.56,0.7,0.56,0.7,4,2.24
1397260800000,"2014-04-12",0.56,0.56,0.56,0.56,0,0
1397347200000,"2014-04-13",0.56,0.56,0.56,0.56,0,0
1397433600000,"2014-04-14",0.58,0.58,0.56,0.56,0.000998,0.0005788
1397520000000,"2014-04-15",0.011,0.6,0.011,0.58,15.48,8.78
1397606400000,"2014-04-16",0.011,0.011,0.011,0.011,0,0
1397692800000,"2014-04-17",0.65,0.65,0.011,0.011,1,0.65
1397779200000,"2014-04-18",0.65,0.65,0.65,0.65,0,0
1397865600000,"2014-04-19",0.7,0.74,0.65,0.65,1.09,0.7669
1397952000000,"2014-04-20",0.7,0.7,0.7,0.7,0,0
1398038400000,"2014-04-21",0.7,0.7,0.7,0.7,0,0
1398124800000,"2014-04-22",0.7,0.7,0.7,0.7,0,0
1398211200000,"2014-04-23",0.8,0.801,0.7,0.7,481.06,384.61
1398297600000,"2014-04-24",0.9,0.9,0.78,0.8,26.87,23.74
1398384000000,"2014-04-25",1.2,1.72,0.9,0.9,44.12,66.61
1398470400000,"2014-04-26",2,2.5,1.2,1.2,65.85,130.61
1398556800000,"2014-04-27",2,2,1.7,2,25.11,47.82
1398643200000,"2014-04-28",2,2,2,2,0,0
1398729600000,"2014-04-29",1.45,2,1.45,2,25.5,39.42
1398816000000,"2014-04-30",1.5,1.5,1.45,1.45,0.5207,0.781
1398902400000,"2014-05-01",1.5,1.5,1.5,1.5,0,0
1398988800000,"2014-05-02",1.4,1.5,1.4,1.5,1.13,1.58
1399075200000,"2014-05-03",1.4,1.4,1.4,1.4,0,0
1399161600000,"2014-05-04",1.52,1.65,1.4,1.4,6.5,10.03
1399248000000,"2014-05-05",1.6,1.68,1.52,1.52,4.57,7.4
1399334400000,"2014-05-06",1.6,1.6,1.55,1.6,4.5,7.15
1399420800000,"2014-05-07",1.64,1.66,1.6,1.6,4.84,7.98
1399507200000,"2014-05-08",1.64,1.64,1.64,1.64,0,0
1399593600000,"2014-05-09",2.25,2.25,1.64,1.64,13.06,25.3
1399680000000,"2014-05-10",2.25,2.25,2.25,2.25,0.8906,2
1399766400000,"2014-05-11",2.35,2.35,2.2,2.25,0.165,0.3653
1399852800000,"2014-05-12",2.35,2.35,2,2.35,0.00309,0.006456
1399939200000,"2014-05-13",2.35,2.35,2,2.35,432.01,1015.21
1400025600000,"2014-05-14",3.1,3.5,2.35,2.35,320.38,873.77
1400112000000,"2014-05-15",6,7.5,3.1,3.1,255.8,838.07
1400198400000,"2014-05-16",6,6,6,6,0.000313,0.001878
1400284800000,"2014-05-17",5,6,5,6,3,15.8
1400371200000,"2014-05-18",6,6,5,5,40,240
1400457600000,"2014-05-19",6,6,5.7,6,61.1,366.47
1400544000000,"2014-05-20",7,7,6,6,4.69,31.44
1400630400000,"2014-05-21",7.5,7.5,6.65,7,5.77,43.02
1400716800000,"2014-05-22",18,18,7.5,7.5,0.002658,0.04785
1400803200000,"2014-05-23",18,18,7,18,0.04196,0.4385
1400889600000,"2014-05-24",18,18,17,18,0.8247,14.54
1400976000000,"2014-05-25",16,18,16,18,0.0002818,0.004509
1401062400000,"2014-05-26",16,16,12,16,357.62,5492.94
1401148800000,"2014-05-27",15.99,16,10,16,4.35,43.48
1401235200000,"2014-05-28",8.1,15.99,8.1,15.99,3.02,24.48
1401321600000,"2014-05-29",8.1,8.1,8.1,8.1,27.27,220.92
1401408000000,"2014-05-30",13,13,8.1,8.1,0.6061,7.88
1401494400000,"2014-05-31",13,15,13,13,25.77,334.95
1401580800000,"2014-06-01",11,13,11,13,12.41,160.47
1401667200000,"2014-06-02",15.5,15.5,11,11,0.3466,4.98
