date, btc, eth
2017-02-26,6,1
2017-03-05,7,1
2017-03-12,6,1
2017-03-19,6,1
2017-03-26,5,1
2017-04-02,5,1
2017-04-09,5,1
2017-04-16,5,1
2017-04-23,5,1
2017-04-30,7,2
2017-05-07,10,1
2017-05-14,11,1
2017-05-21,19,5
2017-05-28,13,4
2017-06-04,12,4
2017-06-11,13,7
2017-06-18,11,6
2017-06-25,11,5
2017-07-02,9,3
2017-07-09,10,4
2017-07-16,12,4
2017-07-23,11,3
2017-07-30,15,2
2017-08-06,15,3
2017-08-13,20,3
2017-08-20,16,3
2017-08-27,17,3
2017-09-03,18,3
2017-09-10,21,3
2017-09-17,16,2
2017-09-24,13,2
2017-10-01,13,2
2017-10-08,19,2
2017-10-15,20,3
2017-10-22,21,2
2017-10-29,28,3
2017-11-05,29,3
2017-11-12,31,3
2017-11-19,28,4
2017-11-26,65,7
2017-12-03,92,7
2017-12-10,86,10
2017-12-17,100,9
2017-12-24,64,6
2017-12-31,47,7
2018-01-07,47,10
2018-01-14,58,8
2018-01-21,39,4
2018-01-28,41,5
2018-02-04,48,4
2018-02-11,27,3
