"time","timeDate","close","high","low","open","volumefrom","volumeto"
1422489600000,"2015-01-29",0.3107,0.35,0.3107,0.35,68.21,23.86
1422576000000,"2015-01-30",0.3027,0.35,0.3027,0.3107,230,80.2
1422662400000,"2015-01-31",0.2896,0.3027,0.2896,0.3027,82.1,24.55
1422748800000,"2015-02-01",0.2896,0.2896,0.2896,0.2896,0,0
1422835200000,"2015-02-02",0.3029,0.3035,0.2867,0.2896,59.58,17.89
1422921600000,"2015-02-03",0.3311,0.36,0.3021,0.3029,254.39,90.77
1423008000000,"2015-02-04",0.2922,0.3311,0.2755,0.3311,366.07,103.14
1423094400000,"2015-02-05",0.2755,0.368,0.2727,0.2922,419.03,118.1
1423180800000,"2015-02-06",0.2747,0.2767,0.2737,0.2755,119.43,32.88
1423267200000,"2015-02-07",0.2747,0.2747,0.2747,0.2747,0,0
1423353600000,"2015-02-08",0.2747,0.2747,0.2747,0.2747,0,0
1423440000000,"2015-02-09",0.2747,0.2747,0.2747,0.2747,0,0
1423526400000,"2015-02-10",0.2747,0.2747,0.2747,0.2747,0,0
1423612800000,"2015-02-11",0.2747,0.2747,0.2747,0.2747,0,0
1423699200000,"2015-02-12",0.2747,0.2747,0.2747,0.2747,0,0
1423785600000,"2015-02-13",0.2747,0.2747,0.2747,0.2747,0,0
1423872000000,"2015-02-14",0.2747,0.2747,0.2747,0.2747,0,0
1423958400000,"2015-02-15",0.2747,0.2747,0.2747,0.2747,0,0
1424044800000,"2015-02-16",0.2747,0.2747,0.2747,0.2747,0,0
1424131200000,"2015-02-17",0.099,0.52,0.01,0.52,12.26,1
1424217600000,"2015-02-18",0.099,0.099,0.099,0.099,0,0
1424304000000,"2015-02-19",0.26,0.35,0.0886,0.099,171.26,41.34
1424390400000,"2015-02-20",0.25,0.26,0.25,0.26,110.97,28.85
1424476800000,"2015-02-21",0.25,0.25,0.25,0.25,0,0
1424563200000,"2015-02-22",0.295,0.32,0.25,0.25,39.33,11.64
1424649600000,"2015-02-23",0.35,0.35,0.295,0.295,150.8,48.56
1424736000000,"2015-02-24",0.25,0.38,0.25,0.35,10.43,3.32
1424822400000,"2015-02-25",0.25,0.25,0.25,0.25,0.001098,0.0002745
