"time","timeDate","close","high","low","open","volumefrom","volumeto"
1477612800000,"2016-10-28",5000,5000,2100,2100,0.08311,414.42
1477699200000,"2016-10-29",4000,30000,4000,12001,9.88,46066.49
1477785600000,"2016-10-30",650,4000,475,4000,22.25,21969.19
1477872000000,"2016-10-31",1600,3000,475,650,99.55,107279.85
1477958400000,"2016-11-01",1550,2175,1200,1600,75.64,120784.35
1478044800000,"2016-11-02",907.27,1550,840,1550,127.02,138837.54
1478131200000,"2016-11-03",835.01,1099.99,835,907.27,180.74,173449.35
1478217600000,"2016-11-04",600,900,547.5,835.01,134.56,93866.36
1478304000000,"2016-11-05",507,624.34,501.01,600,101.14,56278.13
1478390400000,"2016-11-06",309.11,515.99,275,507,164.08,68468.15
1478476800000,"2016-11-07",240,334.82,229.03,309.11,138.35,40022.2
1478563200000,"2016-11-08",275,275,166.79,240,192.21,43498.62
1478649600000,"2016-11-09",267,400,210.05,275,491.75,137135.85
1478736000000,"2016-11-10",212.09,278.88,210.05,267,249.49,61951.5
1478822400000,"2016-11-11",181.23,229.93,179.01,212.09,186.61,37424.88
1478908800000,"2016-11-12",140.95,198.98,139,181.23,111.59,18407.14
1478995200000,"2016-11-13",120,162.52,110,140.95,231.34,30734.32
1479081600000,"2016-11-14",105.1,120,89.24,120,404.69,43891.64
1479168000000,"2016-11-15",113.9,134.98,90.06,105.1,255.92,29431.58
1479254400000,"2016-11-16",93.56,118,93.5,113.9,538.33,56183.53
1479340800000,"2016-11-17",84.47,98.98,84.47,93.56,198.49,18263.51
1479427200000,"2016-11-18",68.07,86.2,68.07,84.47,378.48,29325.65
1479513600000,"2016-11-19",62.92,70.92,62.86,68.07,294.71,19896.71
1479600000000,"2016-11-20",60.66,74.75,60.66,62.92,206.98,13164.74
1479686400000,"2016-11-21",55.01,60.66,55,60.66,196.93,11275.85
1479772800000,"2016-11-22",59.59,73.42,55,55.01,729.68,44360.1
1479859200000,"2016-11-23",81.19,99.72,56.19,59.59,1192.14,85081.34
1479945600000,"2016-11-24",100,105.46,69.85,81.19,1610.69,139021.38
1480032000000,"2016-11-25",90.54,123,83.79,100,989.85,97749.11
1480118400000,"2016-11-26",75,94,75,90.54,695.26,57459.56
1480204800000,"2016-11-27",73.65,77.95,66.1,75,659.11,47088.86
1480291200000,"2016-11-28",74.11,74.11,65.05,73.65,424.49,28834.88
1480377600000,"2016-11-29",68,77.37,65,74.11,506.17,35721.48
1480464000000,"2016-11-30",67.21,73.3,65,68,497.74,34156.75
1480550400000,"2016-12-01",63,68.59,62.16,67.21,591.42,38059.92
1480636800000,"2016-12-02",60,65.14,60,63,1115.78,68543.16
1480723200000,"2016-12-03",58,67.2,57.41,60,477.81,28148.78
1480809600000,"2016-12-04",57.85,62.31,57.38,58,1011.86,59607.28
1480896000000,"2016-12-05",50,57.85,50,57.85,1558.69,85767.44
1480982400000,"2016-12-06",49.25,52,46.74,50,1816.47,90182.45
1481068800000,"2016-12-07",55.9,62.36,46.08,49.25,1074.44,59735.07
1481155200000,"2016-12-08",53.99,56.93,52.21,55.9,398.89,21686.25
1481241600000,"2016-12-09",49.48,53.99,49.48,53.99,365.79,18624.46
1481328000000,"2016-12-10",47.86,52.53,47.44,49.48,259.02,12764.35
1481414400000,"2016-12-11",48.95,50.65,47.14,47.86,222.46,10951.7
1481500800000,"2016-12-12",48.39,50.49,47.79,48.95,217.94,10672.93
1481587200000,"2016-12-13",46.69,49.7,46.69,48.39,243.96,11753.48
1481673600000,"2016-12-14",44,46.69,42.55,46.69,489.08,22041.93
1481760000000,"2016-12-15",39.45,44,39.44,44,260.27,10924.34
1481846400000,"2016-12-16",39.65,42.18,39.45,39.45,196.96,7951.02
1481932800000,"2016-12-17",35.9,40.47,35.68,39.65,528.1,19615.62
1482019200000,"2016-12-18",36.06,41.35,35,35.9,528.43,19562.63
1482105600000,"2016-12-19",34.18,36.89,33.44,36.06,400.28,13972.75
1482192000000,"2016-12-20",36.83,39.99,33.89,34.18,1187.42,43834.84
1482278400000,"2016-12-21",35.44,38.94,35.2,36.83,638.39,23344.45
1482364800000,"2016-12-22",48.99,48.99,35.44,35.44,1743.11,74361.01
1482451200000,"2016-12-23",53.55,62.82,45.25,48.99,2769.97,149374.91
1482537600000,"2016-12-24",46.77,54.41,46.77,53.55,796.3,39152.08
1482624000000,"2016-12-25",45.56,48.78,42.72,46.77,298.7,13514.27
1482710400000,"2016-12-26",43.01,45.56,41.99,45.56,490.46,21503.85
1482796800000,"2016-12-27",44.01,47.33,35,43.01,852.19,37551.27
1482883200000,"2016-12-28",48.87,54.22,43.02,44.01,1731.62,87690.26
1482969600000,"2016-12-29",50.2,54.99,47.98,48.87,508.77,25617.76
1483056000000,"2016-12-30",52,52.77,49.55,50.2,533.71,27070.11
1483142400000,"2016-12-31",48,52,48,52,677.72,33195.6
1483228800000,"2017-01-01",49,49.01,47.38,48,783.22,37828.44
1483315200000,"2017-01-02",50.08,53.01,47.41,49,804.82,39735.17
1483401600000,"2017-01-03",50,55.3,47.5,50.08,998.62,49426.55
1483488000000,"2017-01-04",53.14,54.7,49.11,50,1630.9,85785.94
1483574400000,"2017-01-05",49.99,58.01,44.01,53.14,2553.8,128451.43
1483660800000,"2017-01-06",46.29,51.01,45.65,49.99,730.24,34559.53
1483747200000,"2017-01-07",46.75,48,44.45,46.29,1023.43,46948.65
1483833600000,"2017-01-08",45.15,47.88,45.15,46.75,491.55,22940.26
1483920000000,"2017-01-09",45.49,47.5,45.15,45.15,547.49,25177.6
1484006400000,"2017-01-10",45.3,47.01,45.3,45.49,456.93,20872.62
1484092800000,"2017-01-11",40.04,45.6,38.85,45.3,1927.94,83113.67
1484179200000,"2017-01-12",43,47.88,39.84,40.04,1076.23,47154.16
1484265600000,"2017-01-13",43.04,45.01,42.21,43,393.85,17144.34
