Date,Value
2018-01-21,7.45
2018-01-20,13.075
2018-01-19,8.53333333333
2018-01-18,13.425
2018-01-17,13.025
2018-01-16,8.48333333333
2018-01-15,7.73333333333
2018-01-14,9.68333333333
2018-01-13,8.16666666667
2018-01-12,11.425
2018-01-11,13.7
2018-01-10,14.375
2018-01-09,14.875
2018-01-08,14.3
2018-01-07,9.76666666667
2018-01-06,9.48333333333
2018-01-05,13.95
2018-01-04,9.55
2018-01-03,7.98333333333
2018-01-02,13.9
2018-01-01,9.13333333333
2017-12-31,10.7
2017-12-30,8.06666666667
2017-12-29,9.8
2017-12-28,8.13333333333
2017-12-27,13.375
2017-12-26,10.5
2017-12-25,10.8666666667
2017-12-24,14.0166666667
2017-12-23,16.5
2017-12-22,10.85
2017-12-21,11.25
2017-12-20,9.9
2017-12-19,11.45
2017-12-18,11.6
2017-12-17,13.05
2017-12-16,13.15
2017-12-15,8.23333333333
2017-12-14,11.525
2017-12-13,13.1
2017-12-12,13.4
2017-12-11,10.4833333333
2017-12-10,11.95
2017-12-09,15.5
2017-12-08,10.3333333333
2017-12-07,12.075
2017-12-06,13.0
2017-12-05,8.63333333333
2017-12-04,8.38333333333
2017-12-03,10.35
2017-12-02,15.2
2017-12-01,17.1
2017-11-30,10.0833333333
2017-11-29,9.96666666667
2017-11-28,13.35
2017-11-27,15.375
2017-11-26,13.025
2017-11-25,9.75
2017-11-24,15.35
2017-11-23,9.03333333333
2017-11-22,13.1
2017-11-21,7.5
2017-11-20,12.375
2017-11-19,11.75
2017-11-18,9.15
2017-11-17,12.55
2017-11-16,18.275
2017-11-15,20.975
2017-11-14,18.6
2017-11-13,27.2666666667
2017-11-12,16.7166666667
2017-11-11,18.05
2017-11-10,10.7833333333
2017-11-09,15.3583333333
2017-11-08,10.7333333333
2017-11-07,12.0166666667
2017-11-06,14.9
2017-11-05,15.5166666667
2017-11-04,18.875
2017-11-03,10.55
2017-11-02,9.81666666667
2017-11-01,15.85
2017-10-31,15.9
2017-10-30,15.7333333333
2017-10-29,22.925
2017-10-28,14.4833333333
2017-10-27,5.83333333333
2017-10-26,12.9
2017-10-25,10.4166666667
2017-10-24,12.45
2017-10-23,8.1
2017-10-22,10.6
2017-10-21,12.125
2017-10-20,14.225
2017-10-19,14.45
2017-10-18,10.1
2017-10-17,12.3
2017-10-16,7.93333333333
2017-10-15,13.1666666667
2017-10-14,17.1
2017-10-13,10.6666666667
2017-10-12,16.9
2017-10-11,10.4333333333
2017-10-10,15.4
2017-10-09,10.75
2017-10-08,8.23333333333
2017-10-07,9.21666666667
2017-10-06,14.5166666667
2017-10-05,15.375
2017-10-04,13.325
2017-10-03,11.65
2017-10-02,15.85
2017-10-01,10.1166666667
2017-09-30,11.0833333333
2017-09-29,11.325
2017-09-28,14.575
2017-09-27,12.2833333333
2017-09-26,11.1666666667
2017-09-25,7.88333333333
2017-09-24,7.93333333333
2017-09-23,14.425
2017-09-22,7.21666666667
2017-09-21,12.5333333333
2017-09-20,19.575
2017-09-19,12.2333333333
2017-09-18,6.98333333333
2017-09-17,11.925
2017-09-16,11.925
2017-09-15,11.85
2017-09-14,6.43333333333
2017-09-13,8.925
2017-09-12,7.73333333333
2017-09-11,12.95
2017-09-10,7.21666666667
2017-09-09,8.33333333333
2017-09-08,11.8
2017-09-07,7.9
2017-09-06,8.825
2017-09-05,11.5
2017-09-04,10.75
2017-09-03,11.025
2017-09-02,11.625
2017-09-01,14.15
2017-08-31,11.35
2017-08-30,15.95
2017-08-29,11.0
2017-08-28,11.0833333333
2017-08-27,20.5166666667
2017-08-26,17.1166666667
2017-08-25,12.65
2017-08-24,12.55
2017-08-23,28.95
2017-08-22,13.8166666667
2017-08-21,11.9333333333
2017-08-20,9.91666666667
2017-08-19,14.425
2017-08-18,8.65
2017-08-17,14.25
2017-08-16,15.05
2017-08-15,17.375
2017-08-14,8.45
2017-08-13,19.4583333333
2017-08-12,11.9333333333
2017-08-11,13.1666666667
2017-08-10,11.7
