Date,Value
2018-01-21,19712949.4111
2018-01-20,18273239.6226
2018-01-19,19159214.877
2018-01-18,18494733.4362
2018-01-17,17608758.1818
2018-01-16,16612036.0206
2018-01-15,17165770.5546
2018-01-14,16501289.1138
2018-01-13,17087521.8643
2018-01-12,18527481.5719
2018-01-11,15935554.0981
2018-01-10,15743559.4704
2018-01-09,15935554.0981
2018-01-08,15551564.8428
2018-01-07,16127548.7258
2018-01-06,13727615.8797
2018-01-05,16127548.7258
2018-01-04,15071578.2735
2018-01-03,16415540.6674
2018-01-02,14975580.9597
2018-01-01,15177350.2495
2017-12-31,13687548.998
2017-12-30,15363575.406
2017-12-29,13873774.1545
2017-12-28,14525562.202
2017-12-27,13221986.107
2017-12-26,12570198.0594
2017-12-25,14153111.8891
2017-12-24,12942648.3723
2017-12-23,14432449.6238
2017-12-22,12290860.3248
2017-12-21,12663310.6376
2017-12-20,13035760.9505
2017-12-19,16946489.2357
2017-12-18,14630524.3133
2017-12-17,13523349.5004
2017-12-16,13365181.67
2017-12-15,14630524.3133
2017-12-14,14709608.2285
2017-12-13,12337090.7723
2017-12-12,13523349.5004
2017-12-11,12969762.0939
2017-12-10,13760601.246
2017-12-09,12337090.7723
2017-12-08,11941671.1962
2017-12-07,14867776.0589
2017-12-06,11918845.1662
2017-12-05,12119724.5791
2017-12-04,11784925.5576
2017-12-03,10780528.493
2017-12-02,12253644.1877
2017-12-01,11182287.3189
2017-11-30,11584046.1447
2017-11-29,10445729.4715
2017-11-28,11383166.7318
2017-11-27,10244850.0586
2017-11-26,10445729.4715
2017-11-25,9977010.84138
2017-11-24,10648648.958
2017-11-23,8342572.11359
2017-11-22,11733861.5907
2017-11-21,11869513.1697
2017-11-20,10852126.3266
2017-11-19,9224307.37762
2017-11-18,11326906.8534
2017-11-17,10309520.0103
2017-11-16,10309520.0103
2017-11-15,8681701.06129
2017-11-14,9495610.53579
2017-11-13,5426063.16331
2017-11-12,5426063.16331
2017-11-11,8139094.74496
2017-11-10,11049821.7439
2017-11-09,10399832.2296
2017-11-08,11266484.9154
2017-11-07,9605400.60094
2017-11-06,10183169.0581
2017-11-05,9388737.42949
2017-11-04,8594305.80084
2017-11-03,10833158.5725
2017-11-02,7872095.22934
2017-11-01,9966505.88669
2017-10-31,10616495.401
2017-10-30,11122042.8011
2017-10-29,6138789.85775
2017-10-28,7510989.94359
2017-10-27,12999790.287
2017-10-26,11006184.1902
2017-10-25,9935312.2149
2017-10-24,10173283.765
2017-10-23,10827705.5276
2017-10-22,9102411.7897
2017-10-21,10649226.8651
2017-10-20,10589733.9776
2017-10-19,8983426.01467
2017-10-18,9756833.55236
2017-10-17,10351762.4275
2017-10-16,11601113.0653
2017-10-15,7877324.11724
2017-10-14,7597986.38258
2017-10-13,8547734.68041
2017-10-12,7765589.02337
2017-10-11,8938807.50892
2017-10-10,8994675.05585
2017-10-09,10167893.5414
2017-10-08,8827072.41506
2017-10-07,8882939.96199
2017-10-06,6983443.36634
2017-10-05,7486251.28872
2017-10-04,10223761.0883
2017-10-03,8380132.03961
2017-10-02,7130546.52534
2017-10-01,7569349.38844
2017-09-30,9269710.48294
2017-09-29,9708513.34604
2017-09-28,8063002.60942
2017-09-27,7569349.38844
2017-09-26,6856294.7359
2017-09-25,7953301.89365
2017-09-24,9105159.40928
2017-09-23,7624199.74632
2017-09-22,9653662.98815
2017-09-21,6417491.87281
2017-09-20,8556655.83041
2017-09-19,6965995.45168
2017-09-18,8072925.27664
2017-09-17,7751843.02132
2017-09-16,8256400.8511
2017-09-15,7981187.4894
2017-09-14,8715089.78728
2017-09-13,8623352.00004
2017-09-12,7981187.4894
2017-09-11,6329907.31918
2017-09-10,7751843.02132
2017-09-09,8027056.38302
2017-09-08,8072925.27664
2017-09-07,7430760.76599
2017-09-06,8697798.70304
2017-09-05,7726470.9291
2017-09-04,6799294.41761
2017-09-03,7240807.04213
2017-09-02,7682319.66665
2017-09-01,7196655.77967
2017-08-31,7417412.09193
2017-08-30,6578538.10535
2017-08-29,5695512.85631
2017-08-28,6843445.68006
2017-08-27,4635882.55746
2017-08-26,4459277.50765
2017-08-25,4459277.50765
2017-08-24,7297172.1974
2017-08-23,4084580.66396
2017-08-22,5277828.94781
2017-08-21,5966241.41926
2017-08-20,6930018.87929
2017-08-19,6838230.54977
2017-08-18,8215055.49267
2017-08-17,5966241.41926
2017-08-16,6975913.04406
2017-08-15,5966241.41926
2017-08-14,6792336.385
2017-08-13,6195712.24308
2017-08-12,6608759.72595
2017-08-11,6149818.07831
2017-08-10,6333394.73737
2017-08-09,7012946.15317
2017-08-08,6542565.61851
2017-08-07,5986661.35027
2017-08-06,7568850.42141
2017-08-05,7654374.15499
2017-08-04,5901137.6167
2017-08-03,6499803.75172
2017-08-02,6371518.15136
2017-08-01,6200470.68421
2017-07-31,6285994.41778
2017-07-30,6713613.08566
2017-07-29,6414280.01815
2017-07-28,6585327.4853
2017-07-27,5878995.15883
2017-07-26,5918988.32318
2017-07-25,7118783.25355
2017-07-24,6878824.26748
2017-07-23,6398906.29533
2017-07-22,6158947.30925
2017-07-21,6478892.62402
2017-07-20,5958981.48753
2017-07-19,6598872.11706
2017-07-18,5918988.32318
2017-07-17,6518885.78837
2017-07-16,5079131.87192
2017-07-15,5559049.84407
2017-07-14,5530741.54328
2017-07-13,6235294.60611
2017-07-12,6094383.99355
2017-07-11,6939847.66895
2017-07-10,4861416.13358
2017-07-09,5812562.76841
2017-07-08,5213692.665
2017-07-07,5002326.74615
2017-07-06,5248920.31814
2017-07-05,5389830.93071
2017-07-04,5988701.03412
2017-07-03,6622798.79067
2017-07-02,5802100.177
2017-07-01,5448313.58084
2017-06-30,4245439.1539
2017-06-29,5554449.55969
2017-06-28,4634604.40967
2017-06-27,5023769.66545
2017-06-26,4316196.47313
2017-06-25,5165284.30391
2017-06-24,5660585.53853
2017-06-23,4917633.6866
2017-06-22,4953012.34622
2017-06-21,4882255.02698
2017-06-20,5342177.60199
2017-06-19,5129905.6443
2017-06-18,5129905.6443
2017-06-17,4993719.51673
2017-06-16,5162426.25716
2017-06-15,4723788.73204
2017-06-14,4757530.08013
2017-06-13,4959978.16864
2017-06-12,4926236.82056
2017-06-11,4757530.08013
2017-06-10,5094943.56099
2017-06-09,5567322.43419
2017-06-08,5567322.43419
2017-06-07,5094943.56099
2017-06-06,5533581.08611
2017-06-05,5432357.04185
2017-06-04,5687700.32189
2017-06-03,4325022.11977
2017-06-02,5035984.66001
2017-06-01,4858244.02495
2017-05-31,5302595.61259
2017-05-30,4473139.31565
2017-05-29,4887867.46412
2017-05-28,4976737.78165
2017-05-27,4532386.194
2017-05-26,4828620.58577
2017-05-25,4562009.63318
2017-05-24,4976737.78165
2017-05-23,4064100.39426
2017-05-22,4091936.69834
2017-05-21,4592990.1716
2017-05-20,4565153.86753
2017-05-19,3952755.17798
2017-05-18,4314627.1309
2017-05-17,3674392.13728
2017-05-16,4732171.69195
2017-05-15,4565153.86753
2017-05-14,4398136.04311
2017-05-13,4286790.82683
2017-05-12,3757901.04949
2017-05-11,4119773.00241
2017-05-10,4021861.58655
2017-05-09,4670548.93922
2017-05-08,4333231.51583
2017-05-07,4359179.00994
2017-05-06,3347226.73977
2017-05-05,4359179.00994
2017-05-04,3425069.22209
2017-05-03,4099704.06887
2017-05-02,3892124.11602
2017-05-01,3918071.61012
2017-04-30,4488916.48047
2017-04-29,3528859.19852
2017-04-28,3814281.6337
2017-04-27,3961100.13396
2017-04-26,3831652.41717
2017-04-25,3210303.37655
2017-04-24,3961100.13396
2017-04-23,3753983.78709
2017-04-22,4323553.74099
2017-04-21,3598646.52693
2017-04-20,3702204.70037
2017-04-19,3779873.33045
2017-04-18,3572756.98357
2017-04-17,3779873.33045
2017-04-16,3909321.04724
2017-04-15,3598646.52693
2017-04-14,3287972.00662
2017-04-13,3526859.22387
2017-04-12,4147785.14356
2017-04-11,3675881.4446
2017-04-10,3949088.84926
2017-04-09,3402674.03993
2017-04-08,4023599.95962
2017-04-07,3651044.40781
2017-04-06,4023599.95962
2017-04-05,3104629.59848
2017-04-04,4371318.47465
2017-04-03,3924251.81247
2017-04-02,3278488.85599
2017-04-01,3352999.96635
2017-03-31,4073274.0332
2017-03-30,3263345.89308
2017-03-29,3665352.27121
2017-03-28,3121461.28903
2017-03-27,3925474.04529
2017-03-26,3145108.72304
2017-03-25,4161948.38537
2017-03-24,3499820.23315
2017-03-23,3807236.87526
2017-03-22,3357935.62911
2017-03-21,3216051.02506
2017-03-20,3925474.04529
2017-03-19,3712647.13922
2017-03-18,3641704.8372
2017-03-17,3504460.26124
2017-03-16,3252505.60194
2017-03-15,3573175.16833
2017-03-14,3321220.50902
2017-03-13,3550270.1993
2017-03-12,3412840.38513
2017-03-11,3573175.16833
2017-03-10,3389935.4161
2017-03-09,3252505.60194
2017-03-08,3504460.26124
2017-03-07,3252505.60194
2017-03-06,3367030.44708
2017-03-05,3069265.84972
2017-03-04,3458650.32319
2017-03-03,3440072.18302
2017-03-02,3155225.44175
2017-03-01,3352427.03186
2017-02-28,3155225.44175
2017-02-27,3900209.22661
2017-02-26,3659185.06092
2017-02-25,3637273.77313
2017-02-24,3286693.16849
2017-02-23,3045669.0028
2017-02-22,3023757.71501
2017-02-21,3242870.59291
2017-02-20,2936112.56385
2017-02-19,3330515.74407
2017-02-18,3168918.11913
2017-02-17,3189904.33184
2017-02-16,2917083.56661
2017-02-15,3546669.9479
2017-02-14,3420752.67164
2017-02-13,2959055.99203
2017-02-12,2917083.56661
2017-02-11,3105959.481
2017-02-10,3546669.9479
2017-02-09,3063987.05558
2017-02-08,3168918.11913
2017-02-07,2623276.58868
2017-02-06,3336807.8208
2017-02-05,3043000.84287
2017-02-04,2910612.14912
2017-02-03,3066886.62693
2017-02-02,3750587.46733
2017-02-01,2832474.91022
2017-01-31,2852009.21995
2017-01-30,3262229.72419
2017-01-29,2969215.0783
2017-01-28,3320832.65336
2017-01-27,3066886.62693
2017-01-26,2930146.45885
2017-01-25,2910612.14912
2017-01-24,2715269.05187
2017-01-23,3398969.89226
2017-01-22,3031276.95604
2017-01-21,3165256.04802
2017-01-20,2914045.25056
2017-01-19,2528855.36
2017-01-18,2646087.06
2017-01-17,2830308.31
2017-01-16,2796813.54
2017-01-15,2880550.47
2017-01-14,2528855.36
2017-01-13,2897297.86
2017-01-12,2562350.13
2017-01-11,2679581.83
2017-01-10,2147763.14
2017-01-09,2637326.79
2017-01-08,2195140.26
2017-01-07,2542572.54
2017-01-06,2210932.64
2017-01-05,2432025.91
2017-01-04,2589949.67
2017-01-03,2526780.16
2017-01-02,2463610.66
2017-01-01,2337271.65
2016-12-31,2479403.03
2016-12-30,2368856.4
2016-12-29,2589949.67
2016-12-28,2405181.75
2016-12-27,2189332.11
2016-12-26,2574777.9
2016-12-25,2112242.95
2016-12-24,2343510.43
2016-12-23,2451435.25
2016-12-22,2451435.25
2016-12-21,2127660.78
2016-12-20,2343510.43
2016-12-19,2173914.28
2016-12-18,2235585.61
2016-12-17,2050571.62
2016-12-16,1958064.63
2016-12-15,1981473.29
2016-12-14,2537426.23
2016-12-13,2223811.75
2016-12-12,2223811.75
2016-12-11,1881686.87
2016-12-10,1924452.48
2016-12-09,2238066.96
2016-12-08,2494660.62
2016-12-07,2138280.53
2016-12-06,2166790.94
2016-12-05,2109770.13
2016-12-04,2451895.01
2016-12-03,2052749.31
2016-12-02,2045226.33
2016-12-01,1989192.73
2016-11-30,2115268.33
2016-11-29,2297377.53
2016-11-28,2017209.53
2016-11-27,2157293.53
2016-11-26,2129276.73
2016-11-25,2297377.53
2016-11-24,2059234.73
2016-11-23,1877125.54
2016-11-22,1961175.94
2016-11-21,1807083.54
2016-11-20,1989192.73
2016-11-19,2073243.13
2016-11-18,2012500.86
2016-11-17,2177044.96
2016-11-16,1974529.15
2016-11-15,2177044.96
2016-11-14,1809985.05
2016-11-13,2126416.01
2016-11-12,2063129.82
2016-11-11,2126416.01
2016-11-10,1860614.01
2016-11-09,2139073.24
2016-11-08,1847956.77
2016-11-07,1949214.67
2016-11-06,1885928.48
2016-11-05,1462462.04
2016-11-04,1966759.3
2016-11-03,1676788.37
2016-11-02,1815470.12
2016-11-01,1853292.41
2016-10-31,2130655.91
2016-10-30,1878507.28
2016-10-29,1916329.57
2016-10-28,2042403.89
2016-10-27,1752432.96
2016-10-26,1752432.96
2016-10-25,1802862.69
2016-10-24,1815470.12
2016-10-23,1878507.28
2016-10-22,2107602.62
2016-10-21,1722065.56
2016-10-20,1619255.67
2016-10-19,1991941.5
2016-10-18,1606404.44
2016-10-17,1670660.61
2016-10-16,1824875.44
2016-10-15,1747768.03
2016-10-14,1644958.14
2016-10-13,1863429.15
2016-10-12,1786321.73
2016-10-11,1606404.44
2016-10-10,2056197.68
2016-10-09,2171858.8
2016-10-08,1726771.55
2016-10-07,1930626.53
2016-10-06,2002575.35
2016-10-05,1894652.12
2016-10-04,1822703.31
2016-10-03,1690797.15
2016-10-02,1882660.65
2016-10-01,1702788.62
2016-09-30,1714780.09
2016-09-29,1774737.43
2016-09-28,2026558.28
2016-09-27,1834694.78
2016-09-26,2230413.26
2016-09-25,1874777.56
2016-09-24,1526764.96
2016-09-23,1582896.02
2016-09-22,1863551.35
2016-09-21,1717610.58
2016-09-20,1493086.32
2016-09-19,1627800.88
2016-09-18,1829872.71
2016-09-17,1571669.81
2016-09-16,1728836.79
2016-09-15,1751289.22
2016-09-14,1863551.35
2016-09-13,1829872.71
2016-09-12,1799709.05
2016-09-11,1700944.53
2016-09-10,1569258.5
2016-09-09,1580232.34
2016-09-08,1668023.03
2016-09-07,1492441.65
2016-09-06,1536337.0
2016-09-05,1964316.59
2016-09-04,1382703.3
2016-09-03,1678996.86
2016-09-02,1547310.83
2016-09-01,1481467.82
2016-08-31,1810682.89
2016-08-30,1635101.52
2016-08-29,1642480.66
2016-08-28,1556034.31
2016-08-27,1426364.78
2016-08-26,1404753.2
2016-08-25,1653286.46
2016-08-24,1588451.69
2016-08-23,1718121.22
2016-08-22,1761344.39
2016-08-21,1685703.84
2016-08-20,1664092.25
2016-08-19,1664092.25
2016-08-18,1329112.64
2016-08-17,1469587.96
2016-08-16,1577645.9
2016-08-15,1645931.21
2016-08-14,1645931.21
2016-08-13,1495388.72
2016-08-12,1505424.89
2016-08-11,1525497.22
2016-08-10,1254520.74
2016-08-09,1495388.72
2016-08-08,1485352.56
2016-08-07,1676039.71
2016-08-06,1696112.04
2016-08-05,1535533.39
2016-08-04,1686075.87
2016-08-03,1555605.72
2016-08-02,1623753.77
2016-08-01,1634366.54
2016-07-31,1262919.6
2016-07-30,1560077.15
2016-07-29,1453949.46
2016-07-28,1358434.53
2016-07-27,1369047.3
2016-07-26,1400885.61
2016-07-25,1337208.99
2016-07-24,1390272.84
2016-07-23,1369047.3
2016-07-22,1411498.38
2016-07-21,1591915.46
2016-07-20,1358434.53
2016-07-19,1581302.69
2016-07-18,1580609.59
2016-07-17,1665474.54
2016-07-16,1432095.94
2016-07-15,1506352.77
2016-07-14,1379055.35
2016-07-13,1516960.89
2016-07-12,1516960.89
2016-07-11,1654866.42
2016-07-10,1580609.59
2016-07-09,1538177.12
2016-07-08,1463920.3
2016-07-07,1485136.53
2016-07-06,1538177.12
2016-07-05,1601825.83
2016-07-04,1603443.84
2016-07-03,1551383.97
2016-07-02,1634679.75
2016-07-01,1561795.94
2016-06-30,1520148.05
2016-06-29,1551383.97
2016-06-28,1530560.02
2016-06-27,1530560.02
2016-06-26,1728387.51
2016-06-25,1353556.48
2016-06-24,1457676.21
2016-06-23,1343144.51
2016-06-22,1551383.97
2016-06-21,1598387.66
2016-06-20,1725089.12
2016-06-19,1549656.33
2016-06-18,1452193.67
2016-06-17,1452193.67
2016-06-16,1500925.0
2016-06-15,1296253.41
2016-06-14,1569148.86592
2016-06-13,1422954.8722
2016-06-12,1520417.53468
2016-06-11,1403462.33971
2016-06-10,1608133.93092
2016-06-09,1403462.33971
2016-06-08,1406915.63967
2016-06-07,1684335.62496
2016-06-06,1694243.48158
2016-06-05,1179034.93747
2016-06-04,1406915.63967
2016-06-03,1367284.2132
2016-06-02,1426731.35291
2016-06-01,1258297.79041
2016-05-31,1436639.20952
2016-05-30,1456454.92276
2016-05-29,1317744.93011
2016-05-28,1377192.06982
2016-05-27,1357376.35658
2016-05-26,1377192.06982
2016-05-25,1456454.92276
2016-05-24,1747819.16826
2016-05-23,1776788.54673
2016-05-22,1361560.78853
2016-05-21,1438812.46448
2016-05-20,1168431.59867
2016-05-19,1487094.76194
2016-05-18,1361560.78853
2016-05-17,1361560.78853
2016-05-16,1342247.86954
2016-05-15,1390530.16701
2016-05-14,1467781.84295
2016-05-13,1342247.86954
2016-05-12,1284309.11259
2016-05-11,1403229.58036
2016-05-10,1536447.57849
2016-05-09,1447635.57974
2016-05-08,1332179.98135
2016-05-07,1438754.37986
2016-05-06,1385467.18061
2016-05-05,1492041.57911
2016-05-04,1341061.18123
2016-05-03,1394348.38048
2016-05-02,1376585.98073
2016-05-01,1296655.18185
2016-04-30,1403229.58036
2016-04-29,1207843.18309
2016-04-28,1145796.94382
2016-04-27,1341204.17454
2016-04-26,1128032.65011
2016-04-25,1172443.38437
2016-04-24,1279029.14659
2016-04-23,1270146.99973
2016-04-22,1341204.17454
2016-04-21,1465554.23046
2016-04-20,1332322.0277
2016-04-19,1199089.82493
2016-04-18,1358968.46825
2016-04-17,1270146.99974
2016-04-16,1287911.29344
2016-04-15,1465554.23047
2016-04-14,1302194.693
2016-04-13,1260723.52444
2016-04-12,1252429.29072
2016-04-11,1443196.66613
2016-04-10,1343665.86157
2016-04-09,1169486.95359
2016-04-08,1210958.12216
2016-04-07,1285606.22558
2016-04-06,1235840.8233
2016-04-05,1360254.329
2016-04-04,1219252.35587
2016-04-03,1244135.05701
2016-04-02,1136310.01874
2016-04-01,1028361.53707
2016-03-31,1308075.87516
2016-03-30,1398571.69042
2016-03-29,1168218.70611
2016-03-28,1258714.52138
2016-03-27,1209353.1676
2016-03-26,1192899.383
2016-03-25,1242260.73678
2016-03-24,1242260.73678
2016-03-23,1225806.95219
2016-03-22,1036588.42937
2016-03-21,1242260.73678
2016-03-20,1110630.46004
2016-03-19,1135311.13693
2016-03-18,1063186.96715
2016-03-17,1338828.03271
2016-03-16,1197069.77042
2016-03-15,1197069.77042
2016-03-14,1189194.31141
2016-03-13,1031685.13109
2016-03-12,1283699.8196
2016-03-11,1267948.90157
2016-03-10,1299450.73763
2016-03-09,1055311.50814
2016-03-08,1220696.14747
2016-03-07,1094688.80322
2016-03-06,1292227.06539
2016-03-05,1235336.56565
2016-03-04,1080919.49495
2016-03-03,1275972.63689
2016-03-02,1040283.42371
2016-03-01,1097173.92344
2016-02-29,1210954.92291
2016-02-28,1064665.06645
2016-02-27,1219082.13716
2016-02-26,1178446.06592
2016-02-25,999647.352469
2016-02-24,1097173.92344
2016-02-23,1056537.8522
2016-02-22,1024028.99521
2016-02-21,1284099.85114
2016-02-20,1129682.78043
2016-02-19,1289532.1465
2016-02-18,1002969.44728
2016-02-17,1067446.0546
2016-02-16,1060281.98712
2016-02-15,1289532.1465
2016-02-14,1096102.32453
2016-02-13,1139086.72941
2016-02-12,1375500.95627
2016-02-11,1210727.40421
2016-02-10,1210727.40421
2016-02-09,1153414.86437
2016-02-08,1303860.28146
2016-02-07,1139675.93811
2016-02-06,1074040.1511
2016-02-05,1103874.59974
2016-02-04,1038238.81273
2016-02-03,978569.915444
2016-02-02,1050172.59218
2016-02-01,1068073.26137
2016-01-31,1056139.48191
2016-01-30,1014371.25381
2016-01-29,883099.679791
2016-01-28,918901.018161
2016-01-27,978569.915444
2016-01-26,974832.995578
2016-01-25,935388.88593
2016-01-24,1008642.23242
2016-01-23,929754.013123
2016-01-22,755072.956112
2016-01-21,822691.429794
2016-01-20,839596.048215
2016-01-19,986102.741192
2016-01-18,783247.320146
2016-01-17,783247.320146
2016-01-16,693089.355238
2016-01-15,743803.210499
2016-01-14,862135.539442
2016-01-13,908849.876203
2016-01-12,877866.357696
2016-01-11,877866.357696
2016-01-10,821063.240434
2016-01-09,903685.956452
2016-01-08,743604.444166
2016-01-07,702293.086157
2016-01-06,841718.919438
2016-01-05,903685.956452
2016-01-04,769424.042922
2016-01-03,707457.005908
2016-01-02,697129.166406
2016-01-01,743604.444166
2015-12-31,803647.041574
2015-12-30,706094.510516
2015-12-29,747902.738112
2015-12-28,905844.931254
2015-12-27,864036.703658
2015-12-26,622478.055323
2015-12-25,692158.434651
2015-12-24,766484.1726
2015-12-23,654995.565676
2015-12-22,715385.22776
2015-12-21,785065.607087
2015-12-20,720030.586381
2015-12-19,629152.109263
2015-12-18,625219.90858
2015-12-17,660609.714727
2015-12-16,758914.731799
2015-12-15,692067.32019
2015-12-14,585897.901751
2015-12-13,656677.514044
2015-12-12,688135.119507
2015-12-11,770711.333848
2015-12-10,695999.520873
2015-12-09,625219.90858
2015-12-08,593762.303117
2015-12-07,621791.873841
2015-12-06,621791.873841
2015-12-05,607331.597705
2015-12-04,520569.94089
