Date,Value
2018-01-21,33309440.4533
2018-01-20,28241982.9
2018-01-19,31046750.9517
2018-01-18,29865677.22
2018-01-17,28025172.3225
2018-01-16,32326136.172
2018-01-15,32575141.38
2018-01-14,33603224.7
2018-01-13,38260425.5
2018-01-12,40136372.689
2018-01-11,41068171.475
2018-01-10,39993340.56
2018-01-09,41050023.0267
2018-01-08,43826673.4267
2018-01-07,46900388.184
2018-01-06,41569957.46
2018-01-05,42527795.29
2018-01-04,39612658.0758
2018-01-03,40553327.6417
2018-01-02,32334328.9867
2018-01-01,35435185.8625
2017-12-31,33640243.617
2017-12-30,40531227.59
2017-12-29,37008426.9192
2017-12-28,41529952.92
2017-12-27,38893686.4983
2017-12-26,32706729.1342
2017-12-25,37634874.15
2017-12-24,41833672.6492
2017-12-23,51049170.6725
2017-12-22,43552942.14
2017-12-21,40786861.3917
2017-12-20,41629001.0817
2017-12-19,52600190.3933
2017-12-18,53191582.1375
2017-12-17,50569835.225
2017-12-16,46748982.95
2017-12-15,47709970.566
2017-12-14,47718952.9667
2017-12-13,41532449.5733
2017-12-12,42517108.925
2017-12-11,36118756.345
2017-12-10,40234510.3422
2017-12-09,40290718.09
2017-12-08,35850533.4458
2017-12-07,34001400.78
2017-12-06,28080616.4
2017-12-05,27786214.755
2017-12-04,26076363.222
2017-12-03,23388265.6042
2017-12-02,26605722.884
2017-12-01,22988871.266
2017-11-30,23310275.2025
2017-11-29,21029651.1367
2017-11-28,22128557.8289
2017-11-27,18860738.1297
2017-11-26,18041747.8565
2017-11-25,16712356.6142
2017-11-24,17540614.875
2017-11-23,13902700.8525
2017-11-22,19226652.9
2017-11-21,20065228.0629
2017-11-20,17376609.3247
2017-11-19,15016726.6764
2017-11-18,18692415.9222
2017-11-17,18216836.5617
2017-11-16,17742474.7056
2017-11-15,14299314.2248
2017-11-14,16126660.1871
2017-11-13,8791671.83517
2017-11-12,8125360.76957
2017-11-11,11846298.4095
2017-11-10,15722628.4023
2017-11-09,15069064.604
2017-11-08,15347363.3329
2017-11-07,12842419.1875
2017-11-06,13953618.8916
2017-11-05,13655329.5294
2017-11-04,12261316.1222
2017-11-03,14715617.8482
