Date,OFR FSI,Credit,Equity valuation,Safe assets,Funding,Volatility,United States,Other advanced economies,Emerging markets
2000-01-03,2.081,0.496,-0.055,0.66,0.475,0.505,1.768,0.465,-0.152
2000-01-04,2.363,0.56,0.074,0.619,0.552,0.558,2.084,0.418,-0.139
2000-01-05,2.244,0.536,0.075,0.645,0.504,0.484,2.022,0.355,-0.133
2000-01-06,2.242,0.51,0.077,0.573,0.569,0.513,2.064,0.307,-0.129
2000-01-07,1.947,0.619,-0.015,0.511,0.568,0.264,1.768,0.311,-0.132
2000-01-10,1.888,0.659,-0.062,0.505,0.502,0.284,1.638,0.388,-0.138
2000-01-11,1.838,0.482,-0.011,0.557,0.489,0.321,1.696,0.264,-0.122
2000-01-12,1.859,0.495,0.001,0.567,0.435,0.361,1.685,0.295,-0.121
2000-01-13,1.834,0.547,-0.041,0.488,0.538,0.302,1.705,0.259,-0.13
2000-01-14,1.589,0.545,-0.082,0.437,0.514,0.175,1.518,0.204,-0.133
2000-01-18,1.648,0.443,-0.061,0.472,0.551,0.243,1.668,0.127,-0.147
2000-01-19,1.815,0.454,-0.05,0.472,0.664,0.275,1.793,0.16,-0.138
2000-01-20,1.591,0.435,-0.021,0.514,0.408,0.255,1.573,0.149,-0.131
2000-01-21,1.447,0.433,-0.006,0.492,0.34,0.188,1.455,0.128,-0.136
2000-01-24,1.649,0.487,0.092,0.425,0.367,0.278,1.691,0.094,-0.136
2000-01-25,1.39,0.488,0.079,0.365,0.226,0.232,1.466,0.048,-0.124
2000-01-26,1.401,0.487,0.095,0.381,0.218,0.22,1.46,0.061,-0.12
2000-01-27,1.247,0.405,0.111,0.348,0.121,0.262,1.414,-0.051,-0.116
2000-01-28,1.537,0.456,0.213,0.193,0.23,0.445,1.726,-0.079,-0.11
2000-01-31,1.521,0.624,0.132,0.142,0.235,0.388,1.65,-0.026,-0.103
2000-02-01,1.504,0.649,0.09,0.105,0.259,0.401,1.583,0.025,-0.104
2000-02-02,1.501,0.565,0.093,0.1,0.365,0.378,1.63,-0.024,-0.105
2000-02-03,1.739,0.613,0.049,0.185,0.567,0.325,1.792,0.062,-0.115
2000-02-04,1.373,0.542,0.048,0.124,0.393,0.266,1.502,0.017,-0.146
