"time","timeDate","close","high","low","open","volumefrom","volumeto"
1508025600000,"2017-10-15",0.29,0.29,0.29,0.29,4,1.16
1508112000000,"2017-10-16",0.29,0.29,0.29,0.29,0,0
1508198400000,"2017-10-17",0.29,0.29,0.29,0.29,0,0
1508284800000,"2017-10-18",0.29,0.29,0.29,0.29,0,0
1508371200000,"2017-10-19",0.29,0.29,0.29,0.29,0,0
1508457600000,"2017-10-20",0.29,0.29,0.29,0.29,0,0
1508544000000,"2017-10-21",0.29,0.29,0.29,0.29,0,0
1508630400000,"2017-10-22",0.58,0.58,0.58,0.58,1.72,0.9982
1508716800000,"2017-10-23",0.58,0.58,0.58,0.58,0,0
1508803200000,"2017-10-24",0.58,0.58,0.58,0.58,0,0
1508889600000,"2017-10-25",0.58,0.58,0.58,0.58,0,0
1508976000000,"2017-10-26",0.58,0.58,0.58,0.58,0,0
1509062400000,"2017-10-27",0.58,0.58,0.58,0.58,0,0
1509148800000,"2017-10-28",0.58,0.58,0.58,0.58,0,0
1509235200000,"2017-10-29",0.58,0.58,0.58,0.58,0,0
1509321600000,"2017-10-30",0.58,0.58,0.58,0.58,0,0
1509408000000,"2017-10-31",0.1967,0.2794,0.1326,0.2794,1227.3,220.27
1509494400000,"2017-11-01",0.1445,0.2514,0.1445,0.1967,58.62,12.22
1509580800000,"2017-11-02",0.1498,0.1498,0.1202,0.1445,146.28,21.63
1509667200000,"2017-11-03",0.15,0.15,0.1498,0.1498,142.57,21.38
1509753600000,"2017-11-04",0.15,0.15,0.15,0.15,0,0
1509840000000,"2017-11-05",0.1423,0.15,0.1416,0.15,1021.28,151.25
1509926400000,"2017-11-06",0.1725,0.1725,0.1423,0.1423,70,12.08
1510012800000,"2017-11-07",0.1764,0.1764,0.1416,0.1725,80.96,14.06
1510099200000,"2017-11-08",0.19,0.19,0.141,0.1764,73.62,12.61
1510185600000,"2017-11-09",0.19,0.19,0.19,0.19,0,0
1510272000000,"2017-11-10",0.15,0.15,0.15,0.15,185,27.75
1510358400000,"2017-11-11",0.1404,0.15,0.1313,0.15,126.73,17.06
1510444800000,"2017-11-12",0.001054,0.25,0.001054,0.1404,5012.54,418.66
1510531200000,"2017-11-13",0.1,0.1,0.001054,0.001054,18,1.8
1510617600000,"2017-11-14",0.198,0.198,0.1,0.1,56.04,11.1
1510704000000,"2017-11-15",0.1575,0.1885,0.1022,0.1885,330.16,43.29
1510790400000,"2017-11-16",0.1941,0.1941,0.1575,0.1575,1.21,0.2352
1510876800000,"2017-11-17",0.102,0.1941,0.102,0.1941,1108.63,207.36
1510963200000,"2017-11-18",0.102,0.102,0.102,0.102,0,0
1511049600000,"2017-11-19",0.1701,0.1701,0.102,0.102,32.09,5.15
1511136000000,"2017-11-20",0.1701,0.1701,0.1701,0.1701,0,0
1511222400000,"2017-11-21",0.1895,0.192,0.1414,0.1701,515.39,76.61
1511308800000,"2017-11-22",0.229,0.229,0.1895,0.1895,5,1.14
1511395200000,"2017-11-23",0.229,0.229,0.229,0.229,50,11.45
1511481600000,"2017-11-24",0.229,0.229,0.229,0.229,0,0
1511568000000,"2017-11-25",0.23,0.23,0.229,0.229,96.14,22.11
1511654400000,"2017-11-26",0.1921,0.23,0.1921,0.23,66.35,12.9
1511740800000,"2017-11-27",0.192,0.2251,0.1021,0.1921,133.35,25.5
1511827200000,"2017-11-28",0.1949,0.2275,0.122,0.192,362.25,69.77
