date, dash, zec, xmr
2017-02-26,96,1,1
2017-03-05,91,1,1
2017-03-12,87,1,2
2017-03-19,86,1,2
2017-03-26,82,1,1
2017-04-02,79,1,1
2017-04-09,78,1,1
2017-04-16,78,1,1
2017-04-23,76,1,1
2017-04-30,77,1,2
2017-05-07,74,1,2
2017-05-14,71,1,3
2017-05-21,73,3,4
2017-05-28,71,3,3
2017-06-04,70,4,3
2017-06-11,71,5,4
2017-06-18,74,6,3
2017-06-25,70,5,3
2017-07-02,73,4,2
2017-07-09,71,4,3
2017-07-16,75,3,3
2017-07-23,71,3,3
2017-07-30,72,2,3
2017-08-06,72,3,3
2017-08-13,72,3,3
2017-08-20,72,3,8
2017-08-27,71,3,8
2017-09-03,69,3,5
2017-09-10,67,2,5
2017-09-17,77,2,5
2017-09-24,80,4,5
2017-10-01,75,3,4
2017-10-08,76,3,4
2017-10-15,75,3,4
2017-10-22,78,2,4
2017-10-29,82,2,4
2017-11-05,78,3,7
2017-11-12,84,3,6
2017-11-19,88,3,7
2017-11-26,90,4,11
2017-12-03,92,5,19
2017-12-10,91,7,18
2017-12-17,94,8,20
2017-12-24,92,6,15
2017-12-31,100,6,17
2018-01-07,89,7,15
2018-01-14,84,5,11
2018-01-21,84,4,9
2018-01-28,83,4,8
2018-02-04,83,4,7
2018-02-11,81,3,6
2018-02-18,84,3,6
