"time","timeDate","close","high","low","open","volumefrom","volumeto"
1487721600000,"2017-02-22",0.1396,0.159,0.1352,0.1372,746.12,106.39
1487808000000,"2017-02-23",0.1452,0.1468,0.125,0.1396,541.4,77.75
1487894400000,"2017-02-24",0.141,0.1463,0.1369,0.1452,393.37,56.44
1487980800000,"2017-02-25",0.1406,0.1513,0.1369,0.141,1258.22,177.93
1488067200000,"2017-02-26",0.1476,0.152,0.139,0.1406,526.48,76.64
1488153600000,"2017-02-27",0.1514,0.17,0.1393,0.1476,668.12,97.79
1488240000000,"2017-02-28",0.1422,0.1582,0.12,0.1514,1225.87,179.88
1488326400000,"2017-03-01",0.133,0.1506,0.11,0.1422,264.21,36.75
1488412800000,"2017-03-02",0.18,0.18,0.07677,0.133,849.84,90.23
1488499200000,"2017-03-03",0.1428,0.19,0.1285,0.18,1267.19,190.48
1488585600000,"2017-03-04",0.1315,0.1606,0.1279,0.1428,1341.03,187.31
1488672000000,"2017-03-05",0.1,0.144,0.1,0.1315,1602.93,213.25
1488758400000,"2017-03-06",0.1087,0.15,0.08599,0.1,1421.94,156.54
1488844800000,"2017-03-07",0.1199,0.1288,0.1071,0.1087,2152.84,259.16
1488931200000,"2017-03-08",0.1217,0.145,0.117,0.1199,676.39,81.18
1489017600000,"2017-03-09",0.11,0.1328,0.09414,0.1217,1083.8,132
1489104000000,"2017-03-10",0.1045,0.1121,0.08646,0.11,109.51,10.58
1489190400000,"2017-03-11",0.114,0.1258,0.1045,0.1045,960.32,111.15
1489276800000,"2017-03-12",0.1187,0.125,0.1026,0.114,926.16,107.4
1489363200000,"2017-03-13",0.1166,0.1194,0.1154,0.1187,273.41,32.15
1489449600000,"2017-03-14",0.158,0.18,0.1166,0.1166,2419.81,379.38
1489536000000,"2017-03-15",0.1523,0.1741,0.1467,0.158,1196.47,194.86
1489622400000,"2017-03-16",0.1583,0.2,0.1495,0.1523,1561.42,265.59
1489708800000,"2017-03-17",0.1847,0.21,0.1549,0.1583,1860.12,328.3
1489795200000,"2017-03-18",0.1714,0.1847,0.158,0.1847,2201.94,371.71
1489881600000,"2017-03-19",0.187,0.21,0.1714,0.1714,1370,249.53
1489968000000,"2017-03-20",0.25,0.25,0.09501,0.187,1916.46,346.13
1490054400000,"2017-03-21",0.44,0.44,0.2178,0.25,1330.39,395.26
1490140800000,"2017-03-22",0.2518,0.44,0.24,0.44,895.76,253.87
1490227200000,"2017-03-23",0.2921,0.4,0.2423,0.2518,1346.35,390.2
1490313600000,"2017-03-24",0.3026,0.34,0.2501,0.2921,736.68,218.65
1490400000000,"2017-03-25",0.2826,0.333,0.2501,0.3026,1703.77,482.25
1490486400000,"2017-03-26",0.2852,0.2984,0.26,0.2826,597.18,171.66
1490572800000,"2017-03-27",0.2834,0.3,0.2766,0.2852,1979.65,566.91
1490659200000,"2017-03-28",0.2798,0.2904,0.2678,0.2834,2673.8,751.99
1490745600000,"2017-03-29",0.337,0.337,0.2798,0.2798,2342.26,714.31
1490832000000,"2017-03-30",0.3497,0.3795,0.3319,0.337,592.23,209.54
1490918400000,"2017-03-31",0.3642,0.3867,0.3,0.3497,1301.72,470.49
1491004800000,"2017-04-01",0.3424,0.3879,0.3,0.3642,1452.18,534.16
1491091200000,"2017-04-02",0.3106,0.44,0.25,0.3424,3098.15,932.04
