"time","timeDate","close","high","low","open","volumefrom","volumeto"
1496361600000,"2017-06-02",0.3793,0.3919,0.3683,0.3868,14630,5642.68
1496448000000,"2017-06-03",0.4025,0.4167,0.3738,0.3793,201272,78507.88
1496534400000,"2017-06-04",0.4122,0.45,0.3911,0.4025,173114,70905.87
1496620800000,"2017-06-05",0.5059,0.5598,0.4074,0.4122,155734,67756.58
1496707200000,"2017-06-06",0.5284,0.8625,0.4366,0.5059,78814,41553.9
1496793600000,"2017-06-07",0.5433,0.6816,0.5284,0.5284,39897,24064.98
1496880000000,"2017-06-08",0.5347,0.5904,0.4903,0.5433,62853,34019.05
1496966400000,"2017-06-09",0.5787,0.5829,0.5301,0.5347,124390,70013.33
1497052800000,"2017-06-10",0.5323,0.5839,0.5167,0.5787,103631,57890.62
1497139200000,"2017-06-11",0.5628,0.5706,0.4821,0.5323,82591,44531.32
1497225600000,"2017-06-12",0.4929,0.563,0.4035,0.5628,59844,30887.53
1497312000000,"2017-06-13",0.5143,0.535,0.4437,0.4929,89655,44918.28
1497398400000,"2017-06-14",0.4659,0.5338,0.4484,0.5143,127959,63998.47
1497484800000,"2017-06-15",0.443,0.4981,0.3732,0.4659,354277,148628.4
1497571200000,"2017-06-16",0.467,0.4862,0.4222,0.443,648061,301930.35
1497657600000,"2017-06-17",0.5141,0.5226,0.442,0.467,464722,225598.26
1497744000000,"2017-06-18",0.4862,0.5196,0.4569,0.5141,563317,277184.93
1497830400000,"2017-06-19",0.5708,0.5761,0.4753,0.4862,555012,283020.85
1497916800000,"2017-06-20",0.5358,0.5768,0.5278,0.5708,399618,218873.36
1498003200000,"2017-06-21",0.4907,0.5535,0.4814,0.5358,279616,146280.52
1498089600000,"2017-06-22",0.5326,0.5469,0.4817,0.4907,686223,348645.26
1498176000000,"2017-06-23",0.5478,0.5715,0.5319,0.5326,359499,198464.52
1498262400000,"2017-06-24",0.5036,0.6724,0.4886,0.5478,305640,165884.13
