date, iota, lsk, maid
2017-02-26,1,<1,<1
2017-03-05,1,<1,<1
2017-03-12,1,<1,<1
2017-03-19,2,<1,<1
2017-03-26,2,<1,<1
2017-04-02,1,<1,<1
2017-04-09,1,<1,<1
2017-04-16,1,<1,<1
2017-04-23,1,<1,<1
2017-04-30,2,<1,<1
2017-05-07,1,<1,<1
2017-05-14,1,<1,<1
2017-05-21,1,1,<1
2017-05-28,1,<1,<1
2017-06-04,2,1,<1
2017-06-11,5,1,<1
2017-06-18,3,1,<1
2017-06-25,3,1,<1
2017-07-02,2,1,<1
2017-07-09,2,1,<1
2017-07-16,3,1,<1
2017-07-23,3,<1,<1
2017-07-30,3,1,<1
2017-08-06,4,<1,<1
2017-08-13,8,1,<1
2017-08-20,5,2,<1
2017-08-27,6,3,<1
2017-09-03,5,2,<1
2017-09-10,4,1,<1
2017-09-17,4,1,<1
2017-09-24,4,1,<1
2017-10-01,3,1,<1
2017-10-08,4,1,<1
2017-10-15,4,1,<1
2017-10-22,4,1,<1
2017-10-29,4,1,<1
2017-11-05,5,2,<1
2017-11-12,8,3,<1
2017-11-19,9,4,<1
2017-11-26,19,2,<1
2017-12-03,100,2,<1
2017-12-10,73,3,<1
2017-12-17,57,4,<1
2017-12-24,31,3,<1
2017-12-31,27,3,<1
2018-01-07,22,3,<1
2018-01-14,16,3,<1
2018-01-21,12,2,<1
2018-01-28,11,3,<1
2018-02-04,9,2,<1
2018-02-11,8,2,<1
2018-02-18,7,4,<1
